time (s)	det(V)
2348.185537	0.826303	
2348.187537	0.838067	
2348.191538	0.844117	
2348.193537	0.857322	
2348.195537	0.861999	
2348.197537	0.865210	
2348.199537	0.872763	
2348.201537	0.871034	
2348.205536	0.873645	
2348.209537	0.864996	
2348.211537	0.859721	
2348.213537	0.854017	
2348.215537	0.852997	
2348.217537	0.842580	
2348.221537	0.834079	
2348.223537	0.809253	
2348.225537	0.796079	
2348.227537	0.784344	
2348.229537	0.768303	
2348.231537	0.757799	
2348.235536	0.722027	
2348.237540	0.706158	
2348.239538	0.687150	
2348.241536	0.661619	
2348.243536	0.644118	
2348.247538	0.620225	
2348.249537	0.580713	
2348.251537	0.557280	
2348.253537	0.534716	
2348.255537	0.510333	
2348.257537	0.482462	
2348.261536	0.457668	
2348.263537	0.406229	
2348.265537	0.387845	
2348.269537	0.362191	
2348.271537	0.310964	
2348.273537	0.282466	
2348.275537	0.251928	
2348.277537	0.228701	
2348.281536	0.199004	
2348.283537	0.146782	
2348.287537	0.116300	
2348.289537	0.063582	
2348.291537	0.035300	
2348.293537	0.010096	
2348.295537	-0.023775	
2348.299536	-0.050304	
2348.301536	-0.107458	
2348.303536	-0.131827	
2348.307538	-0.159546	
2348.309536	-0.218336	
2348.311537	-0.248249	
2348.313537	-0.275340	
2348.315536	-0.294593	
2348.317536	-0.322552	
2348.321537	-0.351478	
2348.325537	-0.405985	
2348.327537	-0.447623	
2348.329536	-0.469854	
2348.331536	-0.492468	
2348.333539	-0.515980	
2348.337536	-0.542254	
2348.339536	-0.586314	
2348.341538	-0.610282	
2348.343537	-0.628495	
2348.345537	-0.652043	
2348.347537	-0.672040	
2348.349538	-0.686332	
2348.351537	-0.707439	
2348.353537	-0.720273	
2348.357536	-0.735924	
2348.361536	-0.772016	
2348.363537	-0.800742	
2348.365537	-0.804102	
2348.367537	-0.815952	
2348.369536	-0.824189	
2348.371537	-0.834291	
2348.375537	-0.844558	
2348.377537	-0.853754	
2348.379537	-0.858237	
2348.383537	-0.858886	
2348.385538	-0.862344	
2348.387537	-0.857304	
2348.389537	-0.857646	
2348.391539	-0.854654	
2348.395536	-0.848063	
2348.397536	-0.842439	
2348.399537	-0.832100	
2348.401537	-0.825779	
2348.403537	-0.811288	
2348.405536	-0.800626	
2348.407537	-0.795556	
2348.409537	-0.783471	
2348.411538	-0.773232	
2348.415536	-0.761839	
2348.417536	-0.730980	
2348.421540	-0.699971	
2348.423537	-0.688525	
2348.425537	-0.671681	
2348.427537	-0.653746	
2348.429537	-0.642291	
