num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3257	3596.235679	70.527476	-14.678019	0.473050	12.754077
3261	3600.350787	70.601361	-14.815871	0.480362	12.400353
3263	3602.405980	70.614030	-14.898795	0.477737	13.065598
3267	3606.511027	70.696216	-15.109624	0.473684	12.899553
3269	3608.561348	70.558070	-15.159916	0.475668	12.799164
3271	3610.611394	70.108691	-15.142134	0.479989	12.494957
3273	3612.665672	69.427021	-15.289604	0.477693	11.721028
3275	3614.727119	69.033989	-15.544601	0.463529	10.921112
3279	3618.843022	70.119963	-15.288682	0.444763	12.261495
3281	3620.884729	70.375916	-15.417908	0.466017	12.405291
3285	3624.994875	68.429746	-15.944447	0.454151	10.793842
3287	3627.059964	68.905845	-15.805652	0.430503	11.327871
3289	3629.111135	69.738722	-15.678905	0.437264	12.140893
3293	3633.200865	69.087086	-15.922265	0.458177	11.717187
3295	3635.253817	68.488921	-16.049649	0.452476	11.556699
3297	3637.312602	68.223737	-16.199101	0.443244	10.206548
3301	3641.427836	68.126264	-16.220818	0.437291	10.290351
3303	3643.482804	68.128067	-16.324326	0.432399	10.640635
3307	3647.587987	68.224539	-16.442905	0.431956	10.363390
3309	3649.637472	68.045005	-16.511477	0.425302	9.923134
3313	3653.736267	67.713661	-16.651709	0.409615	10.302382
3315	3655.789417	67.570898	-16.705633	0.407224	10.925984
3319	3659.911218	67.237994	-16.665968	0.419758	11.074154
3321	3661.970459	67.266659	-16.788666	0.426472	10.461969
3325	3666.061124	67.571296	-17.060586	0.397059	9.817843
3327	3668.110658	67.002271	-17.025424	0.388425	10.265831
3331	3672.231584	66.386340	-16.951655	0.401323	10.834464
3333	3674.291059	66.773296	-17.123155	0.408440	10.531817
3337	3678.394580	66.709986	-17.323412	0.394555	9.332495
3339	3680.443399	66.632852	-17.374265	0.389571	9.318010
3343	3684.547240	65.966527	-17.425194	0.381709	9.239076
3345	3686.602043	65.710752	-17.499763	0.377597	8.899585
3347	3688.659048	65.714025	-17.564718	0.375334	9.024359
3351	3692.774039	65.845367	-17.654082	0.361940	9.747578
3353	3694.826137	66.091579	-17.621114	0.361200	9.973070
3357	3698.917538	65.962222	-17.800848	0.369338	10.340696
3359	3700.965327	65.463780	-17.847705	0.372313	9.834130
3361	3703.020615	64.795859	-17.968347	0.371069	8.827669
3365	3707.146760	64.767484	-18.018188	0.344764	8.820684
3367	3709.201828	65.123056	-18.026924	0.340109	9.415994
3371	3713.299102	65.208358	-18.125720	0.347525	10.037506
3373	3715.347152	64.948238	-18.219835	0.346458	9.744709
3377	3719.450175	64.472710	-18.334735	0.341825	9.644349
3379	3721.503168	64.349653	-18.373882	0.336016	9.131734
3383	3725.613929	64.051244	-18.444838	0.327641	9.385249
3385	3727.670645	63.809151	-18.438069	0.324764	9.777136
3389	3731.788649	63.690054	-18.519726	0.331617	9.304279
3391	3733.844219	63.763288	-18.650449	0.330883	8.766240
3395	3737.939316	63.853275	-18.873454	0.313370	7.863579
3397	3739.985248	63.571268	-18.860390	0.301802	8.158728
3401	3744.092107	62.885711	-18.790946	0.297841	8.928973
3403	3746.151544	62.884553	-18.827222	0.298046	8.656561
3407	3750.269223	62.768773	-18.963602	0.300463	8.907970
3409	3752.325706	62.789009	-19.024300	0.299481	8.133860
3411	3754.380349	62.790209	-19.065348	0.295909	8.092598
3413	3756.434222	62.556581	-19.160616	0.288350	8.001576
3417	3760.539768	62.404844	-19.194439	0.282517	7.480404
3419	3762.594274	62.150475	-19.199011	0.277532	7.846769
3423	3766.700558	62.256494	-19.259395	0.269821	7.952724
3425	3768.752161	62.215395	-19.300259	0.264651	8.339841
3429	3772.849738	62.194181	-19.417992	0.265648	8.651466
3431	3774.896467	62.118250	-19.436858	0.268969	8.311682
3433	3776.945315	61.687658	-19.447653	0.271076	8.057173
3437	3781.053831	60.915461	-19.616336	0.264894	7.193774
3439	3783.114894	60.687352	-19.688528	0.254691	6.872875
3441	3785.176316	60.746023	-19.699156	0.247557	6.630881
3443	3787.235062	60.826805	-19.659900	0.236818	7.045603
3447	3791.340433	61.033362	-19.660039	0.236488	7.889302
3449	3793.389941	61.075373	-19.781892	0.234220	8.040972
3451	3795.441480	60.855087	-19.825444	0.233370	7.922627
3455	3799.547806	60.472657	-19.863828	0.231793	7.864113
3457	3801.602972	60.335719	-19.929376	0.226826	7.386858
3459	3803.659839	60.083072	-19.971717	0.223828	7.484963
3461	3805.716160	60.072389	-19.937721	0.231239	7.586126
3463	3807.770220	60.195939	-20.052072	0.231903	6.815129
3467	3811.866694	60.058468	-20.242850	0.214628	5.823808
3469	3813.913922	59.781792	-20.227312	0.208169	6.245891
3471	3815.961764	59.518918	-20.236125	0.199866	6.328136
3475	3820.067511	59.081447	-20.226223	0.195209	6.938459
3477	3822.123088	59.052739	-20.239241	0.194570	7.238902
3481	3826.237210	59.011695	-20.298437	0.189382	7.266335
3483	3828.293833	58.956579	-20.337173	0.187110	7.254784
3485	3830.350134	58.939849	-20.321095	0.186555	7.035941
3487	3832.405705	58.853794	-20.362920	0.185382	7.211022
3489	3834.460002	58.746212	-20.419990	0.178551	7.089280
3493	3838.568156	58.578705	-20.495185	0.169754	6.719999
3495	3840.621046	58.572954	-20.531233	0.167198	6.935835
3497	3842.673836	58.402269	-20.526387	0.165431	6.761038
3499	3844.726530	58.366491	-20.541635	0.164126	6.996874
3501	3846.778380	58.185064	-20.534187	0.163252	7.038976
3503	3848.828778	58.230281	-20.606265	0.158894	6.914805
3505	3850.879583	57.997121	-20.596611	0.161079	6.612575
3507	3852.929579	57.966151	-20.675076	0.156165	6.831033
